3.000e-01,1.707250e-05,5.892476e-07
3.050e-01,2.876810e-01,9.535624e-03
3.100e-01,1.532224e+01,5.181215e-01
3.150e-01,2.003252e+02,1.072819e+01
3.200e-01,5.423190e+02,4.751722e+01
3.250e-01,1.304137e+03,1.883565e+02
3.300e-01,2.145056e+03,4.014495e+02
3.350e-01,2.306196e+03,4.564403e+02
3.400e-01,2.260381e+03,4.381770e+02
3.450e-01,2.267729e+03,4.224456e+02
3.500e-01,2.374319e+03,4.203281e+02
3.600e-01,2.220565e+03,3.487260e+02
3.700e-01,2.375350e+03,3.310488e+02
3.800e-01,2.201355e+03,2.750604e+02
3.900e-01,1.952883e+03,2.207225e+02
4.000e-01,2.663140e+03,2.744030e+02
4.100e-01,2.935358e+03,2.776411e+02
4.200e-01,2.890781e+03,2.525468e+02
4.300e-01,2.548084e+03,2.067493e+02
4.400e-01,2.860284e+03,2.166231e+02
4.500e-01,3.019881e+03,2.134572e+02
4.600e-01,2.984447e+03,1.940314e+02
4.700e-01,2.821748e+03,1.693855e+02
4.800e-01,2.793510e+03,1.549032e+02
4.900e-01,2.530809e+03,1.296605e+02
5.000e-01,2.462699e+03,1.165691e+02
5.100e-01,2.401439e+03,1.051513e+02
5.200e-01,2.215373e+03,9.023441e+01
5.300e-01,2.194786e+03,8.248672e+01
5.400e-01,2.127313e+03,7.426700e+01
5.500e-01,2.057414e+03,6.705484e+01
5.700e-01,1.835414e+03,5.128082e+01
5.930e-01,-nan,-nan
6.100e-01,1.667239e+03,3.865049e+01
6.300e-01,1.669586e+03,3.716262e+01
6.560e-01,1.583834e+03,3.299689e+01
6.676e-01,1.623479e+03,3.306504e+01
6.900e-01,-nan,-nan
7.100e-01,1.555443e+03,2.885599e+01
7.180e-01,-nan,-nan
7.244e-01,-nan,-nan
7.400e-01,-nan,-nan
7.525e-01,1.408488e+03,2.299750e+01
7.575e-01,1.381823e+03,2.224427e+01
7.625e-01,-nan,-nan
7.675e-01,-nan,-nan
7.800e-01,1.321247e+03,2.010676e+01
8.000e-01,1.370188e+03,2.105776e+01
8.160e-01,-nan,-nan
8.237e-01,-nan,-nan
8.315e-01,-nan,-nan
8.400e-01,-nan,-nan
8.600e-01,1.092626e+03,1.331709e+01
8.800e-01,1.032827e+03,1.197113e+01
9.050e-01,-nan,-nan
9.150e-01,-nan,-nan
9.250e-01,-nan,-nan
9.300e-01,-nan,-nan
9.370e-01,-nan,-nan
9.480e-01,-nan,-nan
9.650e-01,-nan,-nan
9.800e-01,-nan,-nan
9.935e-01,-nan,-nan
1.040e+00,7.308714e+02,5.818327e+00
1.070e+00,6.783167e+02,5.064675e+00
1.100e+00,-nan,-nan
1.120e+00,-nan,-nan
1.130e+00,-nan,-nan
1.145e+00,-nan,-nan
1.161e+00,-nan,-nan
1.170e+00,-nan,-nan
1.200e+00,-nan,-nan
1.240e+00,-nan,-nan
1.270e+00,-nan,-nan
1.290e+00,-nan,-nan
1.320e+00,-nan,-nan
1.350e+00,-nan,-nan
1.395e+00,-nan,-nan
1.442e+00,-nan,-nan
1.462e+00,-nan,-nan
1.477e+00,-nan,-nan
1.497e+00,-nan,-nan
1.520e+00,-nan,-nan
1.539e+00,2.851196e+02,8.553253e-01
1.558e+00,-nan,-nan
1.578e+00,-nan,-nan
1.592e+00,-nan,-nan
1.610e+00,-nan,-nan
1.630e+00,2.486901e+02,6.102009e-01
1.646e+00,2.406315e+02,5.766127e-01
1.678e+00,2.412477e+02,6.039709e-01
1.740e+00,-nan,-nan
1.800e+00,-nan,-nan
1.860e+00,-nan,-nan
1.920e+00,-nan,-nan
1.960e+00,-nan,-nan
1.985e+00,-nan,-nan
2.005e+00,-nan,-nan
2.035e+00,-nan,-nan
2.065e+00,-nan,-nan
2.100e+00,-nan,-nan
2.148e+00,-nan,-nan
2.198e+00,-nan,-nan
2.270e+00,-nan,-nan
2.360e+00,-nan,-nan
2.450e+00,-nan,-nan
2.500e+00,-nan,-nan
2.600e+00,-nan,-nan
2.700e+00,-nan,-nan
2.800e+00,-nan,-nan
2.900e+00,-nan,-nan
3.000e+00,-nan,-nan
3.100e+00,-nan,-nan
3.200e+00,-nan,-nan
3.300e+00,-nan,-nan
3.400e+00,-nan,-nan
3.500e+00,-nan,-nan
3.600e+00,-nan,-nan
3.700e+00,-nan,-nan
3.800e+00,-nan,-nan
3.900e+00,-nan,-nan
4.000e+00,-nan,-nan
