3.000e-01,7.651895e-09,1.800549e-10
3.050e-01,7.105796e-03,1.602570e-04
3.100e-01,1.910792e+00,4.186650e-02
3.150e-01,7.074199e+01,2.076830e+00
3.200e-01,2.926612e+02,1.554295e+01
3.250e-01,9.729077e+02,1.075276e+02
3.300e-01,1.896070e+03,3.174832e+02
3.350e-01,2.176578e+03,4.104791e+02
3.400e-01,2.191692e+03,4.153177e+02
3.450e-01,2.234709e+03,4.131190e+02
3.500e-01,2.361495e+03,4.183267e+02
3.600e-01,2.220524e+03,3.503098e+02
3.700e-01,2.375306e+03,3.322526e+02
3.800e-01,2.201315e+03,2.759697e+02
3.900e-01,1.952847e+03,2.214896e+02
4.000e-01,2.663091e+03,2.755219e+02
4.100e-01,2.935305e+03,2.790435e+02
4.200e-01,2.890728e+03,2.541485e+02
4.300e-01,2.548037e+03,2.083837e+02
4.400e-01,2.860231e+03,2.187238e+02
4.500e-01,3.012848e+03,2.149521e+02
4.600e-01,2.970617e+03,1.949641e+02
4.700e-01,2.802183e+03,1.698583e+02
4.800e-01,2.763467e+03,1.545712e+02
4.900e-01,2.490115e+03,1.283690e+02
5.000e-01,2.406345e+03,1.141686e+02
5.100e-01,2.328464e+03,1.017379e+02
5.200e-01,2.134843e+03,8.652113e+01
5.300e-01,2.090685e+03,7.756104e+01
5.400e-01,2.007750e+03,6.880253e+01
5.500e-01,1.926865e+03,6.139714e+01
5.700e-01,1.673185e+03,4.486230e+01
5.930e-01,-nan,-nan
6.100e-01,1.519874e+03,3.429060e+01
6.300e-01,1.557629e+03,3.471985e+01
6.560e-01,1.506386e+03,3.229265e+01
6.676e-01,1.560851e+03,3.317799e+01
6.900e-01,-nan,-nan
7.100e-01,1.533977e+03,3.085563e+01
7.180e-01,-nan,-nan
7.244e-01,-nan,-nan
7.400e-01,-nan,-nan
7.525e-01,1.399801e+03,2.532314e+01
7.575e-01,1.374360e+03,2.457134e+01
7.625e-01,-nan,-nan
7.675e-01,-nan,-nan
7.800e-01,1.321223e+03,2.260892e+01
8.000e-01,1.370162e+03,2.383568e+01
8.160e-01,-nan,-nan
8.237e-01,-nan,-nan
8.315e-01,-nan,-nan
8.400e-01,-nan,-nan
8.600e-01,1.092606e+03,1.536681e+01
8.800e-01,1.032808e+03,1.390152e+01
9.050e-01,-nan,-nan
9.150e-01,-nan,-nan
9.250e-01,-nan,-nan
9.300e-01,-nan,-nan
9.370e-01,-nan,-nan
9.480e-01,-nan,-nan
9.650e-01,-nan,-nan
9.800e-01,-nan,-nan
9.935e-01,-nan,-nan
1.040e+00,7.308580e+02,7.127895e+00
1.070e+00,6.783042e+02,6.269735e+00
1.100e+00,-nan,-nan
1.120e+00,-nan,-nan
1.130e+00,-nan,-nan
1.145e+00,-nan,-nan
1.161e+00,-nan,-nan
1.170e+00,-nan,-nan
1.200e+00,-nan,-nan
1.240e+00,-nan,-nan
1.270e+00,-nan,-nan
1.290e+00,-nan,-nan
1.320e+00,-nan,-nan
1.350e+00,-nan,-nan
1.395e+00,-nan,-nan
1.442e+00,-nan,-nan
1.462e+00,-nan,-nan
1.477e+00,-nan,-nan
1.497e+00,-nan,-nan
1.520e+00,-nan,-nan
1.539e+00,2.851143e+02,1.306628e+00
1.558e+00,-nan,-nan
1.578e+00,-nan,-nan
1.592e+00,-nan,-nan
1.610e+00,-nan,-nan
1.630e+00,2.486856e+02,9.953318e-01
1.646e+00,2.406271e+02,9.485823e-01
1.678e+00,2.412432e+02,9.862801e-01
1.740e+00,-nan,-nan
1.800e+00,-nan,-nan
1.860e+00,-nan,-nan
1.920e+00,-nan,-nan
1.960e+00,-nan,-nan
1.985e+00,-nan,-nan
2.005e+00,-nan,-nan
2.035e+00,-nan,-nan
2.065e+00,-nan,-nan
2.100e+00,-nan,-nan
2.148e+00,-nan,-nan
2.198e+00,-nan,-nan
2.270e+00,-nan,-nan
2.360e+00,-nan,-nan
2.450e+00,-nan,-nan
2.500e+00,-nan,-nan
2.600e+00,-nan,-nan
2.700e+00,-nan,-nan
2.800e+00,-nan,-nan
2.900e+00,-nan,-nan
3.000e+00,-nan,-nan
3.100e+00,-nan,-nan
3.200e+00,-nan,-nan
3.300e+00,-nan,-nan
3.400e+00,-nan,-nan
3.500e+00,-nan,-nan
3.600e+00,-nan,-nan
3.700e+00,-nan,-nan
3.800e+00,-nan,-nan
3.900e+00,-nan,-nan
4.000e+00,-nan,-nan
